date,pm25,pm10,no2
2016/5/20,,12,6
2016/5/21,,8,7
2016/5/22,,17,8
2016/5/23,,22,3
2016/5/24,,3,4
2016/5/25,,9,4
2016/5/26,,16,9
2016/5/27,,20,6
2016/5/28,,18,3
2016/5/29,,18,9
2016/5/30,,10,5
2016/5/31,,4,7
2016/6/1,,9,9
2016/6/2,,8,7
2016/6/3,,11,5
2016/6/4,,12,4
2016/6/5,,13,3
2016/6/6,,14,7
2016/6/7,,13,14
2016/6/8,,20,4
2016/6/9,,13,5
2016/6/10,,10,7
2016/6/11,,14,4
2016/6/12,,10,4
2016/6/13,,7,4
2016/6/14,,6,5
2016/6/15,,4,8
2016/6/16,,17,5
2016/6/17,,9,4
2016/6/18,,4,2
2016/6/19,,4,5
2016/6/20,,7,9
2016/6/21,,13,10
2016/6/22,,16,13
2016/6/23,,17,11
2016/6/24,,28,6
2016/6/25,,32,2
2016/6/26,,8,3
2016/6/27,,7,3
2016/6/28,,8,8
2016/6/29,,12,9
2016/6/30,,15,5
2016/1/4,,31,13
2016/1/5,,47,12
2016/1/6,,48,20
2016/1/7,,35,20
2016/1/8,,24,13
2016/1/9,,38,13
2016/1/10,,17,12
2016/1/11,,15,4
2016/1/12,,4,3
2016/1/13,,2,13
2016/1/14,,11,7
2016/1/15,,6,5
2016/1/16,,10,6
2016/1/17,,15,10
2016/1/18,,18,26
2016/1/19,,40,17
2016/1/20,,26,14
2016/1/21,,15,32
2016/1/22,,40,25
2016/1/23,,42,14
2016/1/24,,14,12
2016/1/25,,6,18
2016/1/26,,16,33
2016/1/27,,53,15
2016/1/28,,25,13
2016/1/29,,9,16
2016/1/30,,23,5
2016/1/31,,2,6
2016/2/1,,3,16
2016/2/2,,31,7
2016/2/3,,6,6
2016/2/4,,6,10
2016/2/5,,9,17
2016/2/6,,21,15
2016/2/7,,15,17
2016/2/8,,32,15
2016/2/9,,17,5
2016/2/10,,3,9
2016/2/11,,7,17
2016/2/12,,22,10
2016/2/13,,14,9
2016/2/14,,18,8
2016/2/15,,10,7
2016/2/16,,13,13
2016/2/17,,21,11
2016/2/18,,20,9
2016/2/19,,19,7
2016/2/20,,11,3
2016/2/21,,2,12
2016/2/22,,26,6
2016/2/23,,42,10
2016/2/24,,12,16
2016/2/25,,20,12
2016/2/26,,17,7
2016/2/27,,21,6
2016/2/28,,31,21
2016/2/29,,25,7
2016/3/1,,14,16
2016/3/2,,32,7
2016/3/3,,8,11
2016/3/4,,18,12
2016/3/5,,15,3
2016/3/6,,5,7
2016/3/7,,11,7
2016/3/8,,16,17
2016/3/9,,39,12
2016/3/10,,36,5
2016/3/11,,25,5
2016/3/12,,14,5
2016/3/13,,20,6
2016/3/14,,24,7
